buffer_length,throughtput,transfered_length
32768,48.52,1073.74
32768,49.00,1073.74
32768,48.94,1073.74
32768,47.77,1073.74
32768,49.38,1073.74
32768,48.14,1073.74
32768,53.23,1073.74
32768,48.97,1073.74
32768,48.69,1073.74
32768,49.39,1073.74
32768,44.39,1073.74
32768,47.19,1073.74
32768,48.17,1073.74
32768,38.19,1073.74
32768,48.90,1073.74
32768,48.59,1073.74
32768,48.78,1073.74
32768,48.26,1073.74
32768,49.02,1073.74
32768,50.81,1073.74
32768,45.56,1073.74
32768,48.53,1073.74
32768,47.16,1073.74
32768,48.43,1073.74
32768,49.47,1073.74
32768,48.63,1073.74
32768,49.22,1073.74
32768,48.02,1073.74
32768,48.20,1073.74
32768,47.96,1073.74
32768,45.53,1073.74
32768,49.20,1073.74
32768,48.45,1073.74
32768,45.07,1073.74
32768,46.05,1073.74
32768,41.78,1073.74
32768,48.34,1073.74
32768,49.92,1073.74
32768,47.64,1073.74
32768,49.10,1073.74
32768,50.77,1073.74
32768,50.00,1073.74
32768,43.55,1073.74
32768,46.71,1073.74
32768,48.89,1073.74
32768,48.79,1073.74
32768,48.49,1073.74
32768,45.69,1073.74
32768,48.28,1073.74
32768,48.98,1073.74
32768,49.29,1073.74
32768,49.42,1073.74
32768,46.76,1073.74
32768,47.90,1073.74
32768,48.79,1073.74
32768,50.21,1073.74
32768,47.89,1073.74
32768,48.88,1073.74
32768,49.53,1073.74
32768,48.40,1073.74
32768,49.12,1073.74
32768,49.07,1073.74
32768,48.68,1073.74
32768,48.68,1073.74
32768,48.76,1073.74
32768,49.21,1073.74
32768,48.43,1073.74
32768,50.50,1073.74
32768,44.12,1073.74
32768,48.82,1073.74
32768,48.51,1073.74
32768,48.02,1073.74
32768,49.34,1073.74
32768,49.46,1073.74
32768,38.13,1073.74
32768,46.36,1073.74
32768,48.88,1073.74
32768,48.69,1073.74
32768,49.49,1073.74
32768,47.90,1073.74
32768,49.09,1073.74
32768,46.43,1073.74
32768,39.00,1073.74
32768,49.71,1073.74
32768,47.71,1073.74
32768,48.82,1073.74
32768,49.37,1073.74
32768,49.27,1073.74
32768,48.06,1073.74
32768,48.74,1073.74
32768,48.68,1073.74
